epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5855.73,0.85122,0.37448,1.09644,0.9135,0.91471,0.96384,0.67966,1.06741,0.34323,1.30856,0.0091882,0.0091882,0.0091882
43,5995.78,0.83991,0.36782,1.09732,0.92463,0.91018,0.96204,0.68035,1.06755,0.34246,1.31159,0.0091684,0.0091684,0.0091684
44,6135.96,0.83552,0.36755,1.08997,0.94354,0.91397,0.96704,0.67782,1.06021,0.34267,1.30786,0.0091486,0.0091486,0.0091486
45,6275.58,0.83196,0.3627,1.08755,0.92358,0.91111,0.96301,0.67094,1.06621,0.34257,1.31453,0.0091288,0.0091288,0.0091288
46,6415.62,0.82286,0.36525,1.08373,0.90587,0.91969,0.96136,0.66479,1.0723,0.3429,1.32037,0.009109,0.009109,0.009109
47,6555.28,0.81902,0.36318,1.0827,0.93315,0.91909,0.9653,0.66406,1.07409,0.34038,1.32268,0.0090892,0.0090892,0.0090892
48,6694.74,0.81965,0.36292,1.07491,0.91595,0.91667,0.9694,0.67466,1.07336,0.34039,1.32538,0.0090694,0.0090694,0.0090694
49,6834.77,0.81381,0.35911,1.07444,0.89085,0.92114,0.96654,0.67628,1.07491,0.33994,1.32865,0.0090496,0.0090496,0.0090496
50,6974.45,0.80179,0.35685,1.06761,0.89634,0.91809,0.96127,0.67498,1.07329,0.34183,1.32775,0.0090298,0.0090298,0.0090298
51,7114.4,0.80026,0.35636,1.06921,0.89752,0.92071,0.94834,0.65402,1.07525,0.34041,1.33201,0.00901,0.00901,0.00901
52,7254.24,0.79573,0.35487,1.06408,0.85644,0.94944,0.96864,0.67097,1.07711,0.34108,1.33707,0.0089902,0.0089902,0.0089902
53,7393.43,0.7875,0.35232,1.0628,0.88077,0.93553,0.96143,0.6631,1.08009,0.34342,1.34436,0.0089704,0.0089704,0.0089704
